$							这个房间同时最大人数	显示个数	辅助瞄准
150031	279	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150032	189	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150033	195	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150034	175	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150035	5	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150036	18	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150037	63	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150038	244	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150039	332	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150040	334	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150041	80	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150042	284	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150043	3	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150044	2	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150045	17	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150046	7	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150047	240	11203		9	dgjlb4_11203_front	dgjlb4_11203_size	20	2	-30,0
150048	9	11204		9	dgjlb4_11204_front	dgjlb4_11204_size	20	2	-35,1
150049	15	11204		9	dgjlb4_11204_front	dgjlb4_11204_size	20	2	-35,1
150050	338	11204		9	dgjlb4_11204_front	dgjlb4_11204_size	20	2	-35,1
150051	74	11204		9	dgjlb4_11204_front	dgjlb4_11204_size	20	2	-35,1
150052	260	11204		9	dgjlb4_11204_front	dgjlb4_11204_size	20	2	-35,1
150053	256	11204		9	dgjlb4_11204_front	dgjlb4_11204_size	20	2	-35,1
150054	57	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150055	241	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150056	259	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150057	8	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150058	180	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150059	19	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150060	209	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150061	179	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150062	196	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150063	149	11205		9	dgjlb4_11205_front	dgjlb4_11205_size	20	2	-45,-1
150064	216	11206		9	dgjlb4_11206_front	dgjlb4_11206_size	20	2	-36,-4
150065	192	11207		9	dgjlb4_11207_front	dgjlb4_11207_size	20	2	-28,0
150066	190	11207		9	dgjlb4_11207_front	dgjlb4_11207_size	20	2	-28,0
150067	261	11207		9	dgjlb4_11207_front	dgjlb4_11207_size	20	2	-28,0
150068	236	11207		9	dgjlb4_11207_front	dgjlb4_11207_size	20	2	-28,0
150069	262	11207		9	dgjlb4_11207_front	dgjlb4_11207_size	20	2	-28,0
150070	245	11207		9	dgjlb4_11207_front	dgjlb4_11207_size	20	2	-28,0
150071	6	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150072	187	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150073	191	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150074	79	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150075	286	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150076	194	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150077	182	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150078	22	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150079	288	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150080	183	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,0
150081	273	11208		9	dgjlb4_11208_front	dgjlb4_11208_size	20	2	-38,20
150082	274	11215		9	dgjlb4_11215_front	dgjlb4_11215_size	20	2	-27,4
150083	216	11302		9	dgjlb4_11302_front	dgjlb4_11302_size	20	2	-30,-10
150084	217	11303		49	dgjlb4_11303_front	dgjlb4_11303_size	20	2	-36,10
150085	170	11304		19	dgjlb4_11304_front	dgjlb4_11304_size	20	2	-20,5
150086	313	11304		19	dgjlb4_11304_front	dgjlb4_11304_size	20	2	-20,5
150087	314	11304		19	dgjlb4_11304_front	dgjlb4_11304_size	20	2	-20,5
150088	315	11304		19	dgjlb4_11304_front	dgjlb4_11304_size	20	2	-20,5
150089	316	11304		19	dgjlb4_11304_front	dgjlb4_11304_size	20	2	-20,5
150090	206	11305		49	dgjlb4_11305_front	dgjlb4_11305_size	20	2	-37,2
150091	291	11305		49	dgjlb4_11305_front	dgjlb4_11305_size	20	2	-37,2
150092	325	11305		49	dgjlb4_11305_front	dgjlb4_11305_size	20	2	-37,2
150093	326	11305		39	dgjlb4_11305_front	dgjlb4_11305_size	20	2	-37,2
150094	32	11306		39	dgjlb4_11306_front	dgjlb4_11306_size	20	2	-32,12
150095	163	11306		39	dgjlb4_11306_front	dgjlb4_11306_size	20	2	-32,12
150096	269	11306		39	dgjlb4_11306_front	dgjlb4_11306_size	20	2	-32,12
150097	48	11306		39	dgjlb4_11306_front	dgjlb4_11306_size	20	2	-32,12
150098	31	11209		39	dgjlb4_11209_front	dgjlb4_11209_size	20	2	-44,4
150099	34	11209		39	dgjlb4_11209_front	dgjlb4_11209_size	20	2	-44,4
150100	290	11209		39	dgjlb4_11209_front	dgjlb4_11209_size	20	2	-44,4
150101	271	11209		39	dgjlb4_11209_front	dgjlb4_11209_size	20	2	-44,4
150102	285	11209		39	dgjlb4_11209_front	dgjlb4_11209_size	20	2	-44,4
150103	292	11209		39	dgjlb4_11209_front	dgjlb4_11209_size	20	2	-44,4
150104	324	11209		39	dgjlb4_11209_front	dgjlb4_11209_size	20	2	-44,4
150105	228	11308		29	dgjlb4_11308_front	dgjlb4_11308_size	20	2	-38,-4
150106	327	11308		29	dgjlb4_11308_front	dgjlb4_11308_size	20	2	-38,-4
150107	84	11308		29	dgjlb4_11308_front	dgjlb4_11308_size	20	2	-38,-4
150108	14	11308		29	dgjlb4_11308_front	dgjlb4_11308_size	20	2	-38,-4
150109	37	11308		29	dgjlb4_11308_front	dgjlb4_11308_size	20	2	-38,-4
150110	213	11308		29	dgjlb4_11308_front	dgjlb4_11308_size	20	2	-38,-4
150111	276	11308		29	dgjlb4_11308_front	dgjlb4_11308_size	20	2	-38,-4
150112	88	11309		29	dgjlb4_11309_front	dgjlb4_11309_size	20	2	-32,11
150113	248	11309		29	dgjlb4_11309_front	dgjlb4_11309_size	20	2	-32,11
150114	249	11309		29	dgjlb4_11309_front	dgjlb4_11309_size	20	2	-32,11
150115	253	11309		29	dgjlb4_11309_front	dgjlb4_11309_size	20	2	-32,11
150116	33	11309		29	dgjlb4_11309_front	dgjlb4_11309_size	20	2	-32,11
150117	214	11309		29	dgjlb4_11309_front	dgjlb4_11309_size	20	2	-32,11
150118	207	11311		29	dgjlb4_11311_front	dgjlb4_11311_size	20	2	-33,3
150119	176	11311		29	dgjlb4_11311_front	dgjlb4_11311_size	20	2	-33,4
150120	52	11311		29	dgjlb4_11311_front	dgjlb4_11311_size	20	2	-33,5
150121	227	11311		29	dgjlb4_11311_front	dgjlb4_11311_size	20	2	-33,6
150122	323	11311		29	dgjlb4_11311_front	dgjlb4_11311_size	20	2	-33,7
150123	267	11311		29	dgjlb4_11311_front	dgjlb4_11311_size	20	2	-33,8
150124	36	11311		29	dgjlb4_11311_front	dgjlb4_11311_size	20	2	-33,9
150125	322	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150126	215	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150127	23	11312		19	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150128	222	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150129	178	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150130	319	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150131	13	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150132	111	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150133	335	11312		9	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150134	143	11312		29	dgjlb4_11312_front	dgjlb4_11312_size	20	2	-32,1
150135	166	11313		29	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150136	177	11313		29	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150137	320	11313		29	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150138	87	11313		29	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150139	203	11313		29	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150140	35	11313		29	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150141	336	11313		9	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150142	321	11313		29	dgjlb4_11313_front	dgjlb4_11313_size	20	2	-40,2
150143	211	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150144	101	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150145	289	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150146	263	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150147	140	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150148	287	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150149	331	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150150	333	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150151	231	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150152	154	11315		9	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150153	237	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150154	264	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150155	243	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150156	161	11315		19	dgjlb4_11315_front	dgjlb4_11315_size	20	2	-30,0
150157	16	11316		9	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150158	252	11316		19	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150159	141	11316		19	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150160	293	11316		19	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150161	250	11316		19	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150162	226	11316		19	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150163	270	11316		19	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150164	100	11316		19	dgjlb4_11316_front	dgjlb4_11316_size	20	2	-36,6
150165	193	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150166	41	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150167	337	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150168	122	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150169	339	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150170	232	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150171	235	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150172	12	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150173	61	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150174	294	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150175	278	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150176	265	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150177	169	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150178	11	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150179	317	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150180	318	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150181	328	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150182	330	11319		19	dgjlb4_11319_front	dgjlb4_11319_size	20	2	-32,-3
150183	198	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150184	223	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150185	184	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150186	91	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150187	124	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150188	81	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150189	266	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150190	172	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150191	54	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150192	188	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150193	83	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150194	68	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150195	275	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150196	272	11318		19	dgjlb4_11318_front	dgjlb4_11318_size	20	2	-29,0
150197	162	11320		19	dgjlb4_11320_front	dgjlb4_11320_size	20	2	-36,4
150198	221	11320		19	dgjlb4_11320_front	dgjlb4_11320_size	20	2	-36,4
150199	50	11320		19	dgjlb4_11320_front	dgjlb4_11320_size	20	2	-36,4
150200	121	11320		19	dgjlb4_11320_front	dgjlb4_11320_size	20	2	-36,4
150201	90	11320		19	dgjlb4_11320_front	dgjlb4_11320_size	20	2	-36,4
150202	224	11320		19	dgjlb4_11320_front	dgjlb4_11320_size	20	2	-36,4
