																																	
#id	dollRes	shadowX	shadowY	shadowSX	shadowSY	dollX	dollY	dollSX	dollSY	catchPointY	graspAngle	faceX	faceY	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
38	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh16.png	0	0	0.8	1	0	0	0.4	0.4	-220	25	50	-140	200	700	520	700	360	800														
39	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh17.png	20	0	0.8	1	20	0	0.5	0.5	-180	30	30	-110	200	700	520	700	360	800														
40	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh18.png	0	0	1	1	0	0	0.5	0.5	-200	10	50	-160	200	700	520	700	360	800														
41	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh19.png	0	0	1.5	1	0	0	0.6	0.6	-250	10	50	-180	200	750	520	750																
42	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh20.png	0	0	1.5	1	0	0	0.6	0.6	-250	10	50	-180	200	750	520	750																
43	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh21.png	0	0	1.5	1	0	0	0.6	0.6	-250	10	50	-180	200	750	520	750																
44	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh22.png	0	0	1.5	1	0	0	0.6	0.6	-180	8	50	-120	200	750	520	750																
45	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh23.png	0	0	1.5	1	0	0	0.7	0.7	-230	8	50	-180	200	750	520	750																
46	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh24.png	0	0	0.8	1	0	0	0.5	0.5	-260	25	50	-180	200	700	520	700	360	800														
47	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh25.png	0	0	0.8	1	0	0	0.4	0.4	-230	22	50	-180	200	700	520	700	360	800														
48	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh26.png	0	0	1	1	0	0	0.6	0.6	-210	20	50	-140	200	700	520	700	360	800														
49	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh27.png	0	0	1.5	1	0	0	0.55	0.55	-260	8	50	-180	200	750	520	750																
50	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh28.png	0	0	1	1	0	0	0.3	0.3	-170	20	50	-120	200	700	520	700	360	800														
51	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh29.png	0	0	1.2	1	0	0	0.5	0.5	-220	12	50	-120	200	700	520	700	360	800														
52	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh30.png	0	0	1.2	1	0	0	0.6	0.6	-220	12	50	-160	200	700	520	700	360	800														
53	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh31.png	0	0	1.2	1	0	0	0.3	0.3	-180	12	50	-160	200	700	520	700	360	800														
54	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh32.png	0	0	1	1	0	0	0.45	0.45	-210	15	50	-160	200	700	520	700	360	800														
55	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh33.png	0	0	1	1	0	0	0.45	0.45	-190	20	50	-120	200	700	520	700	360	800														
56	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh34.png	0	0	1	1	-15	0	0.6	0.6	-170	20	50	-100	200	700	520	700	360	800														
57	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh35.png	0	0	0.8	1	0	0	0.6	0.6	-300	35	40	-250	200	700	520	700	360	800														
58	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh36.png	0	0	1.2	1	-10	0	0.45	0.45	-180	20	80	-120	200	700	520	700	360	800														
59	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh37.png	0	0	0.8	1	-10	0	0.45	0.45	-190	30	40	-130	200	700	520	700	360	800														
60	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh38.png	0	0	1.4	1	0	0	0.6	0.6	-200	8	40	-130	200	750	520	750																
61	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh39.png	0	0	1	1	20	0	0.45	0.45	-230	20	10	-140	200	700	520	700	360	800														
62	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh40.png	0	0	0.8	1	0	0	0.35	0.35	-160	30	30	-80	200	700	520	700	360	800														
63	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh41.png	0	0	0.6	1	0	0	0.35	0.35	-160	30	30	-80	200	700	520	700	360	800														
64	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh42.png	0	0	0.6	1	0	0	0.4	0.4	-160	30	30	-80	200	700	520	700	360	800														
65	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh43.png	0	0	1	1	0	0	0.4	0.4	-240	18	30	-140	200	700	520	700	360	800														
66	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh44.png	0	0	0.7	1	10	0	0.45	0.45	-160	35	30	-100	200	700	520	700	360	800														
67	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh46.png	0	0	0.7	1	0	0	0.4	0.4	-220	25	30	-140	200	700	520	700	360	800														
68	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh47.png	-15	0	0.7	1	-15	0	0.6	0.6	-250	27	70	-180	200	700	520	700	360	800														
69	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh48.png	10	0	1	1	0	0	0.6	0.6	-200	20	-20	-160	200	700	520	700	360	800														
70	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh49.png	0	0	1	1	0	0	0.6	0.6	-180	20	30	-120	200	700	520	700	360	800														
71	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh50.png	0	0	1	1	0	0	0.6	0.6	-200	20	30	-120	200	700	520	700	360	800														
72	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh51.png	0	0	0.6	1	0	0	0.25	0.25	-160	29	30	-120	200	700	520	700	360	800														
73	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh52.png	0	0	0.6	1	0	0	0.5	0.5	-160	33	30	-120	200	700	520	700	360	800														
74	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh53.png	0	0	1	1	0	0	0.4	0.4	-160	20	30	-120	200	700	520	700	360	800														
75	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh54.png	0	0	0.8	1	0	0	0.4	0.4	-150	30	30	-100	200	700	520	700	360	800														
76	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh55.png	0	0	1	1	0	0	0.4	0.4	-170	20	30	-100	200	700	520	700	360	800														
77	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh56.png	0	0	1	1	0	0	0.4	0.4	-190	15	30	-140	200	700	520	700	360	800														
78	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh57.png	0	0	1	1	0	0	0.4	0.4	-150	17	30	-100	200	700	520	700	360	800														
79	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh58.png	0	0	0.5	1	0	0	0.6	0.6	-140	35	30	-80	200	700	520	700	360	800														
80	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh59.png	0	0	0.8	1	0	0	0.4	0.4	-190	27	30	-120	200	700	520	700	360	800														
81	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh60.png	0	0	1	1	0	0	0.4	0.4	-220	22	30	-140	200	700	520	700	360	800														
82	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh61.png	0	0	1.2	1	0	0	0.55	0.55	-200	14	70	-140	200	700	520	700	360	800														
83	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh62.png	0	0	1	1	0	0	0.5	0.5	-230	27	70	-140	200	700	520	700	360	800														
84	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh63.png	0	0	1	1	0	0	0.4	0.4	-230	30	70	-140	200	700	520	700	360	800														
85	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh64.png	0	0	0.8	1	10	0	0.4	0.4	-180	30	50	-120	200	700	520	700	360	800														
86	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh66.png	0	0	1	1	0	0	0.5	0.5	-180	18	30	-100	200	700	520	700	360	800														
87	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh67.png	0	0	0.8	1	20	0	0.5	0.5	-300	33	30	-250	200	700	520	700	360	800														
88	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh68.png	0	0	0.8	1	0	0	0.5	0.5	-200	32	30	-150	200	700	520	700	360	800														
89	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh69.png	0	0	0.8	1	0	0	0.6	0.6	-220	25	30	-150	200	700	520	700	360	800														
90	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh70.png	0	0	1	1	0	0	0.5	0.5	-240	20	30	-180	200	700	520	700	360	800														
91	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh71.png	0	0	0.8	1	0	0	0.6	0.6	-220	27	30	-150	200	700	520	700	360	800														
92	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh72.png	0	0	1	1	0	0	0.6	0.6	-230	15	30	-150	200	700	520	700	360	800														
93	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh73.png	0	0	1	1	0	0	0.8	0.8	-230	18	30	-150	200	700	520	700	360	800														
94	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh74.png	0	0	1	1	0	0	0.55	0.55	-200	12	30	-150	200	700	520	700	360	800														
95	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh75.png	0	0	1	1	0	0	0.55	0.55	-230	18	30	-150	200	700	520	700	360	800														
96	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh76.png	0	0	0.8	1	0	0	0.55	0.55	-160	28	30	-100	200	700	520	700	360	800														
97	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh77.png	0	0	0.5	1	0	0	0.7	0.7	-190	40	30	-140	200	700	520	700	360	800														
98	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh78.png	10	0	0.5	1	-10	0	0.7	0.7	-200	20	30	-140	200	700	520	700	360	800														
99	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh79.png	0	0	0.5	1	0	0	0.7	0.7	-150	35	30	-80	200	700	520	700	360	800														
100	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh80.png	0	0	1	1	0	0	0.7	0.7	-200	22	30	-140	200	700	520	700	360	800														
101	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh81.png	0	0	1.5	1	0	0	0.4	0.4	-200	8	30	-140	200	750	520	750																
102	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh82.png	0	0	1.5	1	0	0	0.5	0.5	-220	8	30	-180	200	750	520	750																
103	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh83.png	0	0	0.8	1	0	0	0.5	0.5	-210	27	30	-140	200	700	520	700	360	800														
104	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh84.png	0	0	1	1	0	0	0.55	0.55	-190	16	30	-100	200	700	520	700	360	800														
105	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh85.png	0	0	1.3	1.2	0	0	0.5	0.5	-180	12	30	-100	200	700	520	700	360	800														
106	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh86.png	0	0	1	1	0	0	0.4	0.4	-220	25	30	-160	200	700	520	700	360	800														
107	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh87.png	0	0	0.7	1	0	0	0.4	0.4	-190	30	30	-120	200	700	520	700	360	800														
108	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh88.png	0	0	0.7	1	0	0	0.35	0.35	-230	28	30	-160	200	700	520	700	360	800														
109	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh89.png	0	0	0.7	1	0	0	0.6	0.6	-190	30	30	-140	200	700	520	700	360	800														
110	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh90.png	0	0	1	1	0	0	0.6	0.6	-240	25	30	-180	200	700	520	700	360	800														
111	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi091.png	0	0	1	1	0	0	0.6	0.6	-200	25	30	-140	200	700	520	700	360	800														
112	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi092.png	0	0	1	1	0	0	0.6	0.6	-200	27	30	-140	200	700	520	700	360	800														
113	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi093.png	-12	0	1	1	-12	0	0.6	0.6	-200	30	30	-140	200	700	520	700	360	800														
114	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi094.png	0	0	1.2	1	0	0	0.6	0.6	-220	15	30	-140	200	700	520	700	360	800														
115	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi095.png	0	0	1.2	1	0	0	0.6	0.6	-210	12	30	-140	200	700	520	700	360	800														
116	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi096.png	0	0	1.4	1	0	0	0.55	0.55	-210	6	30	-140	200	700	520	700	360	800														
117	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi097.png	0	0	1.4	1	0	0	0.7	0.7	-210	6	30	-140	200	700	520	700	360	800														
118	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi098.png	0	0	1	1	20	0	0.45	0.45	-230	24	30	-140	200	700	520	700	360	800														
119	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi099.png	0	0	1.4	1	0	0	0.65	0.65	-240	10	30	-160	200	750	520	750																
120	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi100.png	0	0	0.8	1	0	0	0.65	0.65	-280	30	30	-220	200	700	520	700	360	800														
121	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi101.png	0	0	1.2	1	0	0	0.45	0.45	-220	15	30	-150	200	700	520	700	360	800														
122	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi102.png	0	0	1.2	1	0	0	0.45	0.45	-220	15	30	-150	200	700	520	700	360	800														
123	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi103.png	-10	0	1.2	1	-10	0	0.5	0.5	-180	22	30	-120	200	700	520	700	360	800														
124	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi104.png	0	0	1.2	1	0	0	0.45	0.45	-220	15	30	-150	200	700	520	700	360	800														
125	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi105.png	0	0	1.1	1	0	0	0.5	0.5	-180	22	30	-100	200	700	520	700	360	800														
126	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi106.png	0	0	0.8	1	0	0	0.5	0.5	-200	30	30	-140	200	700	520	700	360	800														
127	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi107.png	0	0	1	1	15	0	0.45	0.45	-240	23	30	-140	200	700	520	700	360	800														
128	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi108.png	0	0	1.2	1	0	0	0.5	0.5	-210	15	30	-140	200	700	520	700	360	800														
129	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi109.png	0	0	0.8	1	0	0	0.5	0.5	-230	25	30	-140	200	700	520	700	360	800														
130	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi110.png	0	0	1.4	1	0	0	0.6	0.6	-240	8	30	-180	200	750	520	750																
131	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi111.png	20	0	1.4	1	10	0	0.4	0.4	-350	18	30	-320	200	750	520	750																
132	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi112.png	0	0	1.4	1	0	0	0.6	0.6	-240	8	30	-200	200	750	520	750																
133	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi113.png	0	0	1.4	1	0	0	0.6	0.6	-220	10	30	-180	200	750	520	750																
134	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi114.png	0	0	0.6	1	0	0	0.6	0.6	-280	35	30	-220	200	700	520	700	360	800														
135	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi115.png	-5	0	0.8	1	-5	0	0.6	0.6	-220	32	30	-160	200	700	520	700	360	800														
136	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi116.png	0	0	0.8	1	0	0	0.6	0.6	-250	28	30	-160	200	700	520	700	360	800														
137	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi117.png	15	0	0.8	1	15	0	0.5	0.5	-270	20	30	-160	200	700	520	700	360	800														
138	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi118.png	15	0	1.2	1	15	0	0.5	0.5	-290	20	30	-220	200	700	520	700	360	800														
139	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi119.png	0	0	1.4	1	0	0	0.75	0.75	-240	8	30	-180	200	750	520	750																
140	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi120.png	0	0	1.4	1	0	0	0.6	0.6	-250	12	30	-220	200	750	520	750																
141	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi121.png	0	0	0.8	1	0	0	0.5	0.5	-220	26	30	-160	200	700	520	700	360	800														
142	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi122.png	0	0	0.8	1	0	0	0.5	0.5	-240	26	30	-160	200	700	520	700	360	800														
143	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi123.png	0	0	1.3	1	0	0	0.5	0.5	-210	8	30	-160	200	750	520	750																
144	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi124.png	0	0	0.8	1	0	0	0.5	0.5	-230	27	30	-160	200	700	520	700	360	800														
145	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi125.png	0	0	1	1	0	0	0.5	0.5	-230	34	30	-160	200	700	520	700	360	800														
146	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi126.png	0	0	1.4	1	0	0	0.7	0.7	-240	10	30	-160	200	750	520	750																
147	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi127.png	0	0	1.4	1	0	0	0.55	0.55	-240	10	30	-160	200	750	520	750																
148	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi128.png	0	0	1	1	0	0	0.55	0.55	-230	32	30	-160	200	700	520	700	360	800														
149	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi129.png	0	0	1	1	0	0	0.45	0.45	-200	10	30	-160	200	700	520	700	360	800														
150	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi130.png	0	0	0.8	1	0	0	0.4	0.4	-200	23	30	-160	200	700	520	700	360	800														
151	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi131.png	0	0	0.7	1	0	0	0.5	0.5	-160	30	30	-80	200	700	520	700	360	800														
152	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi132.png	12	0	1	1	12	0	0.6	0.6	-250	22	30	-180	200	700	520	700	360	800														
153	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi133.png	0	0	0.8	1	0	0	0.6	0.6	-220	30	30	-140	200	700	520	700	360	800														
154	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi134.png	0	0	0.8	1	0	0	0.6	0.6	-180	30	30	-140	200	700	520	700	360	800														
155	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi135.png	0	0	1	1	0	0	0.6	0.6	-220	24	30	-140	200	700	520	700	360	800														
156	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi136.png	13	0	1.1	1	10	0	0.5	0.5	-230	20	30	-180	200	700	520	700	360	800														
157	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi137.png	11	0	1.1	1	8	0	0.5	0.5	-230	24	30	-180	200	700	520	700	360	800														
158	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi138.png	0	0	1.4	1	0	0	0.6	0.6	-250	8	30	-180	200	750	520	750																
159	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi139.png	0	0	1.5	1	0	0	0.55	0.55	-250	8	30	-180	200	750	520	750																
160	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi140.png	0	0	1.2	1	0	0	0.45	0.45	-220	15	30	-180	200	700	520	700	360	800														
161	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wi141.png	0	0	1.1	1	0	0	0.55	0.55	-220	17	30	-180	200	700	520	700	360	800														
