$商品ID	商品名字	图片					真实价值		
1013	联通话费卡6元	http://zww.ooxxp.com/zwwimg/jf_jx020.png	（参考价：6元）	720	http://zww.ooxxp.com/mall/detail_1044.html	HF	6	1	jinxuan
1014	联通话费卡10元	http://zww.ooxxp.com/zwwimg/jf_jx009.png	（参考价：10元）	1200	http://zww.ooxxp.com/mall/detail_1008.html	HF	10	1	jinxuan
1015	联通话费卡30元	http://zww.ooxxp.com/zwwimg/jf_jx010.png	（参考价：30元）	3600	http://zww.ooxxp.com/mall/detail_1009.html	HF	30	1	jinxuan
1016	联通话费卡100元	http://zww.ooxxp.com/zwwimg/jf_jx011.png	（参考价：50元）	12000	http://zww.ooxxp.com/mall/detail_1010.html	HF	100	1	jinxuan
1017	Q币卡10元	http://zww.ooxxp.com/zwwimg/jf_jx012.png	（参考价：10元）	1755	http://zww.ooxxp.com/mall/detail_1011.html	QB	10	1	jinxuan
1018	Q币卡30元	http://zww.ooxxp.com/zwwimg/jf_jx013.png	（参考价：30元）	5265	http://zww.ooxxp.com/mall/detail_1012.html	QB	30	1	jinxuan
1019	Q币卡100元	http://zww.ooxxp.com/zwwimg/jf_jx014.png	（参考价：100元）	17550	http://zww.ooxxp.com/mall/detail_1013.html	QB	100	1	jinxuan
1020	充电热水袋	http://zww.ooxxp.com/zwwimg/jf_jd001.png	（参考价：59.9元）	5990	http://zww.ooxxp.com/mall/detail_1014.html	SW	59.9	0	jiadian
1021	智能体重称	http://zww.ooxxp.com/zwwimg/jf_jd002.png	（参考价：114元）	11400	http://zww.ooxxp.com/mall/detail_1015.html	SW	114	0	jiadian
1022	九阳多功能料理机	http://zww.ooxxp.com/zwwimg/jf_jd003.png	（参考价：199元）	19900	http://zww.ooxxp.com/mall/detail_1016.html	SW	199	0	jiadian
1023	飞利浦电动剃须刀	http://zww.ooxxp.com/zwwimg/jf_jd004.png	（参考价：229元）	22900	http://zww.ooxxp.com/mall/detail_1017.html	SW	229	0	jiadian
1024	苏泊尔电饭煲	http://zww.ooxxp.com/zwwimg/jf_jd005.png	（参考价：369元）	36900	http://zww.ooxxp.com/mall/detail_1018.html	SW	369	0	jiadian
1025	金士顿U盘32G	http://zww.ooxxp.com/zwwimg/jf_sm001.png	（参考价：69.9元）	6990	http://zww.ooxxp.com/mall/detail_1019.html	SW	69.9	0	shuma
1026	品胜充电宝	http://zww.ooxxp.com/zwwimg/jf_sm002.png	（参考价：75元）	7500	http://zww.ooxxp.com/mall/detail_1020.html	SW	75	0	shuma
1027	小米智能手环	http://zww.ooxxp.com/zwwimg/jf_sm003.png	（参考价：149元）	14900	http://zww.ooxxp.com/mall/detail_1021.html	SW	149	0	shuma
1028	森海塞尔耳机	http://zww.ooxxp.com/zwwimg/jf_sm004.png	（参考价：189元）	18900	http://zww.ooxxp.com/mall/detail_1022.html	SW	189	0	shuma
1029	雷蛇机械键盘	http://zww.ooxxp.com/zwwimg/jf_sm005.png	（参考价：319元）	31900	http://zww.ooxxp.com/mall/detail_1023.html	SW	319	0	shuma
1030	东北大米	http://zww.ooxxp.com/zwwimg/jf_sp001.png	（参考价：39.9元）	3990	http://zww.ooxxp.com/mall/detail_1024.html	SW	39.9	0	shipin
1031	费列罗威化巧克力	http://zww.ooxxp.com/zwwimg/jf_sp002.png	（参考价：45元）	4500	http://zww.ooxxp.com/mall/detail_1025.html	SW	45	0	shipin
1032	橄榄油	http://zww.ooxxp.com/zwwimg/jf_sp003.png	（参考价：68元）	6800	http://zww.ooxxp.com/mall/detail_1026.html	SW	68	0	shipin
1033	德国德亚进口纯牛奶	http://zww.ooxxp.com/zwwimg/jf_sp004.png	（参考价：119元）	11900	http://zww.ooxxp.com/mall/detail_1027.html	SW	119	0	shipin
1034	竹叶青茶叶	http://zww.ooxxp.com/zwwimg/jf_sp005.png	（参考价：216元）	21600	http://zww.ooxxp.com/mall/detail_1028.html	SW	216	0	shipin
1035	大宝SOD蜜	http://zww.ooxxp.com/zwwimg/jf_ry001.png	（参考价：24.9元）	2490	http://zww.ooxxp.com/mall/detail_1029.html	SW	24.9	0	riyong
1036	云南白药牙膏套装	http://zww.ooxxp.com/zwwimg/jf_ry002.png	（参考价：69元）	6900	http://zww.ooxxp.com/mall/detail_1030.html	SW	69	0	riyong
1037	沙宣无硅油洗发水	http://zww.ooxxp.com/zwwimg/jf_ry003.png	（参考价：99元）	9900	http://zww.ooxxp.com/mall/detail_1031.html	SW	99	0	riyong
1038	一叶子补水保湿面膜	http://zww.ooxxp.com/zwwimg/jf_ry004.png	（参考价：129元）	12900	http://zww.ooxxp.com/mall/detail_1032.html	SW	129	0	riyong
1039	Olay护肤面部套装	http://zww.ooxxp.com/zwwimg/jf_ry005.png	（参考价：209元）	20900	http://zww.ooxxp.com/mall/detail_1033.html	SW	209	0	riyong
1040	璐瑶颈椎按摩器	http://zww.ooxxp.com/zwwimg/jf_qt001.png	（参考价：79元）	7900	http://zww.ooxxp.com/mall/detail_1034.html	SW	79	0	qita
1041	富安娜纤维枕	http://zww.ooxxp.com/zwwimg/jf_qt002.png	（参考价：99元）	9900	http://zww.ooxxp.com/mall/detail_1035.html	SW	99	0	qita
1042	杜蕾斯避孕套	http://zww.ooxxp.com/zwwimg/jf_qt003.png	（参考价：129元）	12900	http://zww.ooxxp.com/mall/detail_1036.html	SW	129	0	qita
1043	施华洛世奇坠饰	http://zww.ooxxp.com/zwwimg/jf_qt004.png	（参考价：200元）	20000	http://zww.ooxxp.com/mall/detail_1037.html	SW	200	0	qita
1044	膳魔师真空保温杯	http://zww.ooxxp.com/zwwimg/jf_qt005.png	（参考价：225元）	22500	http://zww.ooxxp.com/mall/detail_1038.html	SW	225	0	qita
