$编号	名字	图片	资源下载地址	价格	抓这个娃娃给玩家的积分	概率分子	概率分母	付费概率	模型文件	材质				碰撞体	缩放	质量	摩擦力	滚动摩擦力	撞击摩擦力	线性阻尼	角阻尼	模型个数	抽奖游戏类型	游戏场次
11	萌趣趣	http://zww.ooxxp.com/zwwimg/111.png	http://zww.ooxxp.com/dolls/output/11/	19	38	1	200	6,200	11.c3b	11.mtl	0.76,0.76,0.76	0.45,0.45,0.45	0.8,0.8,0.8	phy_11_collider	0.041	10	30	15	1	0.3	0.3			
12	资生堂护手霜(代抓)	http://zww.ooxxp.com/zwwimg/112.png	http://zww.ooxxp.com/dolls/output/12/	19	38	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
13	长颈鹿变装布朗熊	http://zww.ooxxp.com/zwwimg/113.png	http://zww.ooxxp.com/dolls/output/13/	29	58	1	200	6,200	13.c3b	13.mtl	0.9,0.9,0.9	0.35,0.34,0.34	0.6,0.6,0.6	phy_13_collider	0.041	10	30	15	1	0.3	0.3			
14	哆啦A梦与记忆面包(代抓)	http://zww.ooxxp.com/zwwimg/114.png	http://zww.ooxxp.com/dolls/output/14/	29	58	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
15	布朗手套(代抓)	http://zww.ooxxp.com/zwwimg/115.png	http://zww.ooxxp.com/dolls/output/15/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
16	午睡毯(代抓)	http://zww.ooxxp.com/zwwimg/116.png	http://zww.ooxxp.com/dolls/output/16/	9	18	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
17	轻松熊	http://zww.ooxxp.com/zwwimg/117.png	http://zww.ooxxp.com/dolls/output/17/	9	18	1	200	9,200	17.c3b	17.mtl	0.92,0.92,0.92	0.45,0.45,0.45	0.67,0.67,0.67	phy_17_collider	0.043	10	30	15	1	0.3	0.3			
18	布朗熊可妮兔抱鸭公仔	http://zww.ooxxp.com/zwwimg/118.png	http://zww.ooxxp.com/dolls/output/18/	9	18	1	200	9,200	18.c3b	18.mtl	1,1,1	0.4,0.4,0.4	0.7,0.7,0.7	phy_18_collider	0.042	10	30	15	1	0.3	0.3			
19	小白熊	http://zww.ooxxp.com/zwwimg/119.png	http://zww.ooxxp.com/dolls/output/19/	9	18	1	200	7,200	19.c3b	19.mtl	0.85,0.85,0.85	0.3,0.3,0.3	0.4,0.4,0.4	phy_19_collider	0.041	10	30	15	1	0.3	0.3			
20	玻尿酸耳罩(代抓)	http://zww.ooxxp.com/zwwimg/120.png	http://zww.ooxxp.com/dolls/output/20/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
21	皇冠恐龙	http://zww.ooxxp.com/zwwimg/121.png	http://zww.ooxxp.com/dolls/output/21/	9	18	1	200	9,200	21.c3b	21.mtl	1,1,1	0.18,0.18,0.18	0.57,0.57,0.57	phy_21_collider	0.043	10	30	15	1	0.3	0.3			
22	可达鸭	http://zww.ooxxp.com/zwwimg/122.png	http://zww.ooxxp.com/dolls/output/22/	9	18	1	200	9,200	22.c3b	22.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.55,0.55,0.55	phy_22_collider	0.042	10	30	15	1	0.3	0.3			
23	庄周鲲公仔(代抓)	http://zww.ooxxp.com/zwwimg/wh01.png	http://zww.ooxxp.com/dolls/output/23/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
24	李白手办(代抓)	http://zww.ooxxp.com/zwwimg/wh02.png	http://zww.ooxxp.com/dolls/output/24/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
25	妲己手办(代抓)	http://zww.ooxxp.com/zwwimg/wh03.png	http://zww.ooxxp.com/dolls/output/25/	29	58	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
26	吕布手办(代抓)	http://zww.ooxxp.com/zwwimg/wh04.png	http://zww.ooxxp.com/dolls/output/26/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
27	游园惊梦抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh05.png	http://zww.ooxxp.com/dolls/output/27/	29	58	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
28	仲夏夜抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh06.png	http://zww.ooxxp.com/dolls/output/28/	29	58	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
29	变色水杯(代抓)	http://zww.ooxxp.com/zwwimg/wh07.png	http://zww.ooxxp.com/dolls/output/29/	29	58	1	200	13,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
30	1.2米等身抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh08.png	http://zww.ooxxp.com/dolls/output/30/	39	78	1	200	4,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
31	1.6米泰迪熊(代抓)	http://zww.ooxxp.com/zwwimg/wh09.png	http://zww.ooxxp.com/dolls/output/31/	39	78	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
32	1.4米哈士奇(代抓)	http://zww.ooxxp.com/zwwimg/wh10.png	http://zww.ooxxp.com/dolls/output/32/	39	78	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
33	蜡笔小新(代抓)	http://zww.ooxxp.com/zwwimg/wh11.png	http://zww.ooxxp.com/dolls/output/33/	29	58	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
34	伶俐萌小猫咪(代抓)	http://zww.ooxxp.com/zwwimg/wh12.png	http://zww.ooxxp.com/dolls/output/34/	39	78	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
35	海贼王手办一套(代抓)	http://zww.ooxxp.com/zwwimg/wh13.png	http://zww.ooxxp.com/dolls/output/35/	29	58	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
36	火影手办一套(代抓)	http://zww.ooxxp.com/zwwimg/wh14.png	http://zww.ooxxp.com/dolls/output/36/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
37	黑崎一护手办(代抓)	http://zww.ooxxp.com/zwwimg/wh15.png	http://zww.ooxxp.com/dolls/output/37/	29	58	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
38	阿狸手办(代抓)	http://zww.ooxxp.com/zwwimg/wh16.png	http://zww.ooxxp.com/dolls/output/38/	29	58	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
39	罗小黑手办(代抓)	http://zww.ooxxp.com/zwwimg/wh17.png	http://zww.ooxxp.com/dolls/output/39/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
40	滑小稽抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh18.png	http://zww.ooxxp.com/dolls/output/40/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
41	大天狗抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh19.png	http://zww.ooxxp.com/dolls/output/41/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
42	妖刀姬抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh20.png	http://zww.ooxxp.com/dolls/output/42/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
43	瓶邪抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh21.png	http://zww.ooxxp.com/dolls/output/43/	29	58	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
44	龙猫双人抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wh22.png	http://zww.ooxxp.com/dolls/output/44/	39	78	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
45	卡通抱枕+毯子(代抓)	http://zww.ooxxp.com/zwwimg/wh23.png	http://zww.ooxxp.com/dolls/output/45/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
46	十二星座条漫杯(代抓)	http://zww.ooxxp.com/zwwimg/wh24.png	http://zww.ooxxp.com/dolls/output/46/	39	78	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
47	励志暖手宝(代抓)	http://zww.ooxxp.com/zwwimg/wh25.png	http://zww.ooxxp.com/dolls/output/47/	29	58	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
48	猫耳双肩包(代抓)	http://zww.ooxxp.com/zwwimg/wh26.png	http://zww.ooxxp.com/dolls/output/48/	39	78	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
49	保暖卡通坐垫(代抓)	http://zww.ooxxp.com/zwwimg/wh27.png	http://zww.ooxxp.com/dolls/output/49/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
50	卡通零钱包(代抓)	http://zww.ooxxp.com/zwwimg/wh28.png	http://zww.ooxxp.com/dolls/output/50/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
51	卡通收纳袋(代抓)	http://zww.ooxxp.com/zwwimg/wh29.png	http://zww.ooxxp.com/dolls/output/51/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
52	布朗熊布袋包(代抓)	http://zww.ooxxp.com/zwwimg/wh30.png	http://zww.ooxxp.com/dolls/output/52/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
53	魔卡少女小樱耳罩(代抓)	http://zww.ooxxp.com/zwwimg/wh31.png	http://zww.ooxxp.com/dolls/output/53/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
54	邦妮兔公仔	http://zww.ooxxp.com/zwwimg/wh32.png	http://zww.ooxxp.com/dolls/output/54/	19	38	1	200	8,100	31.c3b	31.mtl	1.02,1.02,1.02	0.25,0.25,0.25	0.3,0.3,0.3	phy_31_collider	0.04	10	30	15	1	0.3	0.3			
55	动物头零钱包(代抓)	http://zww.ooxxp.com/zwwimg/wh33.png	http://zww.ooxxp.com/dolls/output/55/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
56	可妮兔收纳包(代抓)	http://zww.ooxxp.com/zwwimg/wh34.png	http://zww.ooxxp.com/dolls/output/56/	29	58	1	200	13,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
57	床头手机支架(代抓)	http://zww.ooxxp.com/zwwimg/wh35.png	http://zww.ooxxp.com/dolls/output/57/	9	18	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
58	车载趴兔布娃娃(代抓)	http://zww.ooxxp.com/zwwimg/wh36.png	http://zww.ooxxp.com/dolls/output/58/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
59	阿柴表情印花挂件(代抓)	http://zww.ooxxp.com/zwwimg/wh37.png	http://zww.ooxxp.com/dolls/output/59/	29	58	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
60	暖手捂毛绒公仔(代抓)	http://zww.ooxxp.com/zwwimg/wh38.png	http://zww.ooxxp.com/dolls/output/60/	29	58	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
61	小马宝莉公仔(代抓)	http://zww.ooxxp.com/zwwimg/wh39.png	http://zww.ooxxp.com/dolls/output/61/	19	38	1	200	14,200	34.c3b	34.mtl	0.9,0.9,0.9	0.25,0.25,0.25	0.2,0.2,0.2	phy_34_collider	0.041	10	30	15	1	0.3	0.3			
62	QQ表情包钥匙挂件(代抓)	http://zww.ooxxp.com/zwwimg/wh40.png	http://zww.ooxxp.com/dolls/output/62/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
63	米奇米妮手机指环扣(代抓)	http://zww.ooxxp.com/zwwimg/wh41.png	http://zww.ooxxp.com/dolls/output/63/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
64	哆啦A梦手机指环扣(代抓)	http://zww.ooxxp.com/zwwimg/wh42.png	http://zww.ooxxp.com/dolls/output/64/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
65	狗年吉祥物(代抓)	http://zww.ooxxp.com/zwwimg/wh43.png	http://zww.ooxxp.com/dolls/output/65/	19	38	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
66	大头熊猫吊坠(代抓)	http://zww.ooxxp.com/zwwimg/wh44.png	http://zww.ooxxp.com/dolls/output/66/	19	38	1	200	14,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
67	布朗家族挂件(代抓)	http://zww.ooxxp.com/zwwimg/wh46.png	http://zww.ooxxp.com/dolls/output/67/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
68	小猪佩奇毛绒玩具(代抓)	http://zww.ooxxp.com/zwwimg/wh47.png	http://zww.ooxxp.com/dolls/output/68/	19	38	1	200	14,200	35.c3b	35.mtl	0.9,0.9,0.9	0.35,0.35,0.35	0.2,0.2,0.2	phy_35_collider	0.041	10	30	15	1	0.3	0.3			
69	摇滚鲁迪玩具公仔(代抓)	http://zww.ooxxp.com/zwwimg/wh48.png	http://zww.ooxxp.com/dolls/output/69/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
70	卡通滴油开口指环(代抓)	http://zww.ooxxp.com/zwwimg/wh49.png	http://zww.ooxxp.com/dolls/output/70/	19	38	1	200	14,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
71	水貂毛毛球戒指(代抓)	http://zww.ooxxp.com/zwwimg/wh50.png	http://zww.ooxxp.com/dolls/output/71/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
72	韩国立体眼睛发圈(代抓)	http://zww.ooxxp.com/zwwimg/wh51.png	http://zww.ooxxp.com/dolls/output/72/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
73	毛丝绒粉色系耳环(代抓)	http://zww.ooxxp.com/zwwimg/wh52.png	http://zww.ooxxp.com/dolls/output/73/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
74	毛绒发夹(代抓)	http://zww.ooxxp.com/zwwimg/wh53.png	http://zww.ooxxp.com/dolls/output/74/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
75	卖萌毛绒黄色发夹(代抓)	http://zww.ooxxp.com/zwwimg/wh54.png	http://zww.ooxxp.com/dolls/output/75/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
76	毛绒刘海夹马尾(代抓)	http://zww.ooxxp.com/zwwimg/wh55.png	http://zww.ooxxp.com/dolls/output/76/	19	38	1	200	13,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
77	超萌猫耳束发带(代抓)	http://zww.ooxxp.com/zwwimg/wh56.png	http://zww.ooxxp.com/dolls/output/77/	19	38	1	200	13,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
78	复古少女心耳环(代抓)	http://zww.ooxxp.com/zwwimg/wh57.png	http://zww.ooxxp.com/dolls/output/78/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
79	可爱五星银针(代抓)	http://zww.ooxxp.com/zwwimg/wh58.png	http://zww.ooxxp.com/dolls/output/79/	9	18	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
80	可爱蒙奇奇钥匙扣(代抓)	http://zww.ooxxp.com/zwwimg/wh59.png	http://zww.ooxxp.com/dolls/output/80/	9	18	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
81	小刺猬公仔(代抓)	http://zww.ooxxp.com/zwwimg/wh60.png	http://zww.ooxxp.com/dolls/output/81/	19	38	1	200	10,200	36.c3b	36.mtl	0.95,0.95,0.95	0.3,0.3,0.3	0.45,0.45,0.45	phy_36_collider	0.041	10	30	15	1	0.3	0.3			
82	糯米兔毛绒玩具(代抓)	http://zww.ooxxp.com/zwwimg/wh61.png	http://zww.ooxxp.com/dolls/output/82/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
83	皮卡丘公仔抱枕	http://zww.ooxxp.com/zwwimg/wh62.png	http://zww.ooxxp.com/dolls/output/83/	9	18	1	200	10,200	32.c3b	32.mtl	0.95,0.95,0.95	0.25,0.25,0.25	0.2,0.2,0.2	phy_32_collider	0.041	10	30	15	1	0.3	0.3			
84	奶嘴蒙奇奇钥匙扣(代抓)	http://zww.ooxxp.com/zwwimg/wh63.png	http://zww.ooxxp.com/dolls/output/84/	19	38	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
85	bentoy二代卡夹(代抓)	http://zww.ooxxp.com/zwwimg/wh64.png	http://zww.ooxxp.com/dolls/output/85/	19	38	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
86	网络套图可爱卡包(代抓)	http://zww.ooxxp.com/zwwimg/wh66.png	http://zww.ooxxp.com/dolls/output/86/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
87	可爱大白保温杯(代抓)	http://zww.ooxxp.com/zwwimg/wh67.png	http://zww.ooxxp.com/dolls/output/87/	29	58	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
88	渐变色便携保温杯(代抓)	http://zww.ooxxp.com/zwwimg/wh68.png	http://zww.ooxxp.com/dolls/output/88/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
89	摇摇猴束口零钱包(代抓)	http://zww.ooxxp.com/zwwimg/wh69.png	http://zww.ooxxp.com/dolls/output/89/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
